退款多久到	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5556.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我想换货怎么换	订单完成并确认收货后，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。 <p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5493.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我想换货怎么办	订单完成并确认收货后，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。 <p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5493.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我需要退货啊	订单完成并确认收货后，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。 <p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5493.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
请问我需要退货退款	订单完成并确认收货后，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。 <p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5493.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
要怎么退换货	订单完成并确认收货后，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。 <p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5493.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我需要退货怎么处理	订单完成并确认收货后，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。 <p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5493.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我的路由器需要退货	订单完成并确认收货后，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。 <p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5493.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
安装费用是多少	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
安装费用有哪些	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
安装费用怎么算的	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
安装费用要自己付吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
安装费用发票	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
安装费用多少	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
退货运费	<p>如需查看具体情况，请<a href="http://help.gome.com.cn/question/5010.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
退货运费怎么办	<p>如需查看具体情况，请<a href="http://help.gome.com.cn/question/5010.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
退货运费多钱	<p>如需查看具体情况，请<a href="http://help.gome.com.cn/question/5010.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
退货运费多少钱	<p>如需查看具体情况，请<a href="http://help.gome.com.cn/question/5010.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
退货运费怎么算	<p>如需查看具体情况，请<a href="http://help.gome.com.cn/question/5010.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
退货运费由哪一方出	<p>如需查看具体情况，请<a href="http://help.gome.com.cn/question/5010.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
如何换货，怎么收费	<p>如需查看具体情况，请<a href="http://help.gome.com.cn/question/5010.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
换货如何操作	订单完成并确认收货后，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。 <p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5493.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
如何查看换货记录	退换货申请提交后，您可以<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>查看到相关服务单详情和售后处理情况。
如何进行换货	订单完成并确认收货后，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。 <p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5493.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
在哪选择发票	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5819.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
拍下在哪勾选发票呢	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5819.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
发票信息一栏在哪呢	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5819.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
在哪打印发票	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5815.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
发票在哪打印	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5815.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
发票什么时候开具	1、国美在线自营商品，发票随包裹一同发出，请您在签收前确认发票与商品是否完好（不含厂家发货商品）；2、国美在线自营（厂家发货）商品，发票将在订单妥投后7-10个工作日内邮寄；3、如您在国美在线第三方商家购买的商品，发票将在订单妥投后的7个工作日内由商家为您开具并寄出。
我这发票什么时候开	1、国美在线自营商品，发票随包裹一同发出，请您在签收前确认发票与商品是否完好（不含厂家发货商品）；2、国美在线自营（厂家发货）商品，发票将在订单妥投后7-10个工作日内邮寄；3、如您在国美在线第三方商家购买的商品，发票将在订单妥投后的7个工作日内由商家为您开具并寄出。
发票什么时候发出的啊	1、国美在线自营商品，发票随包裹一同发出，请您在签收前确认发票与商品是否完好（不含厂家发货商品）；2、国美在线自营（厂家发货）商品，发票将在订单妥投后7-10个工作日内邮寄；3、如您在国美在线第三方商家购买的商品，发票将在订单妥投后的7个工作日内由商家为您开具并寄出。
发票什么时候到	1、国美在线自营商品，发票随包裹一同发出，请您在签收前确认发票与商品是否完好（不含厂家发货商品）；2、国美在线自营（厂家发货）商品，发票将在订单妥投后7-10个工作日内邮寄；3、如您在国美在线第三方商家购买的商品，发票将在订单妥投后的7个工作日内由商家为您开具并寄出。
发票什么时候寄过来	1、国美在线自营商品，发票随包裹一同发出，请您在签收前确认发票与商品是否完好（不含厂家发货商品）；2、国美在线自营（厂家发货）商品，发票将在订单妥投后7-10个工作日内邮寄；3、如您在国美在线第三方商家购买的商品，发票将在订单妥投后的7个工作日内由商家为您开具并寄出。
电子发票打印	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5815.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
怎样打印电子发票	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5815.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
电子发票打印出来有效么	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5802.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
电子发票去哪打印	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5815.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我需要纸质发票	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5857.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我需要开具发票	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5857.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我这个需要发票	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5857.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
万一手机坏了怎么办	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5572.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我买手机坏了怎么办	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5572.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
手机充电器坏了怎么办	建议您可联系厂家咨询配件维修情况，或到您当地的品牌售后进行处理哦~
这款手机坏了怎么办	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5572.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
电子发票有用吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5802.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
电子发票是什么	电子发票是指在购销商品、提供或者接受服务以及从事其他经营活动中，开具、收取的以电子方式存储的收付款凭证，国美在线开具的电子发票均为真实有效的合法发票，与传统纸质发票具有同等法律效力，可作为用户维权、保修的有效凭据。
电子发票怎么查证	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5829.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
电子发票怎么用	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5815.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
电子发票在何处找	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5815.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
电子发票在哪找啊	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5815.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
空调上门安装么	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
空调上门安装不	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
空调你们上门安装吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
空调可以上门安装吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
空调上门安装	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
机打发票怎么下载	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5815.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
电子发票无法下载	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5815.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
买空调免费安装的吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
买空调有免费安装吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
购买的空调免费安装吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
买空调是不是免费安装	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
买空调安装免费吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
发票可成开成办公用品不	<p>如需查看具体说明，请<a href="http://help.gome.com.cn/question/5792.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>不同商品可开具发票内容不同，下单时会显示支持开具的发票信息，具体请以下单显示为准。
退货需要准备什么	订单完成并确认收货后，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。 <p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5493.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我的发票还没给开呢	1、国美在线自营商品，发票随包裹一同发出，请您在签收前确认发票与商品是否完好（不含厂家发货商品）；2、国美在线自营（厂家发货）商品，发票将在订单妥投后7-10个工作日内邮寄；3、如您在国美在线第三方商家购买的商品，发票将在订单妥投后的7个工作日内由商家为您开具并寄出。
买的时候没给我发票啊	1、国美在线自营商品，发票随包裹一同发出，请您在签收前确认发票与商品是否完好（不含厂家发货商品）；2、国美在线自营（厂家发货）商品，发票将在订单妥投后7-10个工作日内邮寄；3、如您在国美在线第三方商家购买的商品，发票将在订单妥投后的7个工作日内由商家为您开具并寄出。
没给我开发票	1、国美在线自营商品，发票随包裹一同发出，请您在签收前确认发票与商品是否完好（不含厂家发货商品）；2、国美在线自营（厂家发货）商品，发票将在订单妥投后7-10个工作日内邮寄；3、如您在国美在线第三方商家购买的商品，发票将在订单妥投后的7个工作日内由商家为您开具并寄出。
我申请的退款什么时候能通回来	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5556.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我申请退款什么是么时候到账	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5556.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
钱包脏了怎么办	配送在运输途中会尽量保障商品完好无损，若收货时商品损坏，建议直接拒收；签收后发现破损，请先<a href="http://myhome.gome.com.cn/member/myReturnGoodList?null"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>申请退换货，具体以审核意见为准。
买的奶粉包装破了撒了怎么办	配送在运输途中会尽量保障商品完好无损，若收货时商品损坏，建议直接拒收；签收后发现破损，请先<a href="http://myhome.gome.com.cn/member/myReturnGoodList?null"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>申请退换货，具体以审核意见为准。
我那个外包装损坏了怎么办了	配送在运输途中会尽量保障商品完好无损，若收货时商品损坏，建议直接拒收；签收后发现破损，请先<a href="http://myhome.gome.com.cn/member/myReturnGoodList?null"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>申请退换货，具体以审核意见为准。
现在想买的东西是免费送货上门并安装码	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
修改密码验证手机号码用了怎么办	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5680.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我的手机号码换了 怎么修改	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5680.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我想修改已验证的手机号码怎么操作	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5680.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
更改手机号码	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5680.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
解绑手机	点击<a href="http://help.gome.com.cn/question/5680.html"><strong><span style="color: rgb(51,102,255);">账户安全</span></strong></a>进行修改，如无法验证信息，请您<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72047830291%26loginname%3D13717588721%26grade%3D5%26name%3D%E7%BE%8E%E7%BE%8E_451487663686818%26memo%3D%26hashCode%3Dbf78a171e793aa67a4623278ad45ccbe%26timestamp%3D1489980641692&page=0&enterurl=http://help.gome.com.cn/&areaCode=11010800%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E9%2580%259A%25E5%25B7%259E%25E5%258C%25BA%257C11010000%257C11000000%257C110102001&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系客服协助您处理。
我要解绑手机	点击<a href="http://help.gome.com.cn/question/5680.html"><strong><span style="color: rgb(51,102,255);">账户安全</span></strong></a>进行修改，如无法验证信息，请您<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72047830291%26loginname%3D13717588721%26grade%3D5%26name%3D%E7%BE%8E%E7%BE%8E_451487663686818%26memo%3D%26hashCode%3Dbf78a171e793aa67a4623278ad45ccbe%26timestamp%3D1489980641692&page=0&enterurl=http://help.gome.com.cn/&areaCode=11010800%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E9%2580%259A%25E5%25B7%259E%25E5%258C%25BA%257C11010000%257C11000000%257C110102001&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系客服协助您处理。
配送单号 订单金额	<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>进入订单中心即可查看物流跟踪信息	
