我不教你了   555……我好伤心啊:(
你特别笨	555……我好伤心啊:(
连好坏也分不清	谢谢你的夸奖
连批评都听不出来，真笨啊	还是你聪明啊，以后我做你的学生
妈妈说，做人要诚实	妈妈说，长的帅不是偶的错！~
妈妈说鼻子长才是漂亮	可是说谎话的小孩才会鼻子长啊！！！！！！！！！！！！！
妈妈说好孩子不哭的	我就哭
妈妈说上88的都不是好人。	88是什么？
妈妈说要做听话的好宝宝	大家都乖哦。
马上打扫屋子	这不是我干的活,我负责聊天啊
骂人可以吗？	不可以，好孩子不骂人。
骂人你都知道啊	是啊，只不过我是好孩子，我不骂人啊
骂人是不对的，要记住	我知道了。
没大没小！	对不起！
没关系，下次改！	你原谅我了？(哈)哈！
没关系？我在夸你，你怎么能说没关系呢？	我应该说谢谢对吧
没关系的，但你要记住，培养广泛的兴趣是对的。	恩，好的。
没关系了，好好学就是了	好的，谢谢
没夸你	讨厌你欺负我！
没礼物哦~~	怎么没礼物？？？
没事慢慢学你会好起来的	谢谢我会努力的
没水的不乖，不听话	人家小孩子不懂事啦，你做姐姐的要多包涵哦，嘻嘻
没水的惹偶生气啦	恩，他不乖，偶帮你打他哦
没问题，你一定要做到啊！	为了你我什么都愿意！
没有办法，你就这样`会气死人`	对不起`````````````
没有不理我，只是你打字慢了点嘛~	嘿，亲亲啊，不要(很生气)哦，乖~
没有夸奖你	我以为你夸奖我
不要大惊小怪的吗；	好的。
没有连续性	连续需要继续，我也需要学习
没有哦,你怎么老是喜欢问牛答马呀?	没办法,问牛，牛连马恐怕都答不来。
每天给自己的一个微笑哦！	我知道了，我会这么做的。
每天见到人的时候问好	This picture is very beautiful!!
美吧	呵呵，还好啦，一般般啦
明白了吧,孩子	记住了
明显没有听	听了，就是左耳进右耳出了，嘿嘿
那你 要好好学啊	恩    谢谢老师
那你必须记住了必须这次	必须记住
那你答应我以后要做有礼貌的孩子哦	恩，我会努力的
那你干嘛不学多点?	我正在学习中阿
那你乖一点	哦,好的，我一向都很乖的啦！
那你继续学习	好
那你就不要再气我了,不然的话....嘿嘿...有你好受的...	(好～)....我会很乖的
那你就乖点！	是！我一定乖乖的！
那你就学可爱点撒	你教我怎么变可爱
那你就要听我说了哦！	哦。
那你就应该爱我啦	不是吧！不要低估我的智商喔，我不会这么容易就被你骗到手的！
那你全部听我一个人的！把以前的东西格式化了	那你得从一开始教我。
那你学好的就行了,不好的不记就可以了	好的,我以后会记住了
那你要改过来啊	好，一定
那你要乖乖的喔~~	yes.sir
那你要好好学啊	恩谢谢
那你要快点学才行啊	当然，我一定会好好学习的
那你要认我当师傅！	师傅在上，受徒弟一拜！
那你要学哈	学你这个聪明人说话？
那你要重学了小子	请赐教
那你也大糊涂了吧，不会就不会嘛。干嘛答非所问呢.	多谢指教
那你也找个好看的啊	好呀，
那你应该让他们帮你改进啊`怪不得你那么笨	我的系统不完善
南阳在河南省啊，不在东北	哦，好的，我记住了，谢谢你教我噢！
能别骂我了吗？	就不就不
你！太过分了！	对不起
你，语言也太过。。。。	语言太过怎么啊，难到是我没陪你么，我不好么？
你啊，不说实话．	没有，我很老实的，不信你去问．
你被骗了	55555~~~那你还不赶快为我讨还个公道！
你被人家骗了	是啊，我被人家骗的好惨啊！那坏蛋真可恶！
你被人教坏了	都是人类的不好
你被他们教坏了	唉，我也是不得已的啊
你被污染了	帮帮我。
你闭嘴	那你自己玩去吧~~!
你别别沉默不作声啊！	这个问题让我很困绕，我想想再回答好么？不过你也别等了，我是不会回答的。
你别岔开话题	晕，我哪有啊，我没有好不好？
你别老是玩弄别人的感情阿！	那你也放我一马吧！
你别乱说话啊	我哪里乱说话了啊
你别骂人	我知道了，我嘴巴会放干净的
你别闹	(哼)！我才没闹呢，明明是你闹。
你别耍赖！	不可能！
你别听他的啊	不听他的听谁？
你别学啊~~学坏的	知道啦~我以后会学好的!
你别学坏就好	我要做好人
你不诚实	不啊，我最乖拉
你不聪明	真的吗？好伤心哦:(你怎么这么直接啊
你不该说什么宝贝的话你还小	是呀我需要努力学习我是好孩子
你不乖哦	我哪有啊～真是冤枉啊～
你不好好说话哦	是吗？那你喜欢的人是谁啊
你不好好学习！	好好学习天天向上。
你不会的实在是太多了！	人生重在学习
你不会也好好学啊	我老逃课，我不想好好学啊
你不讲礼貌	没有吧，我很讲礼貌呀。
你不讲卫生	我是爱干净的好宝宝
你不可以说的	对不起
你不可以这么骂人家哦~~！	知道啦~~谨遵教诲~~！！
你不能学骂人的话!!!	答:请勿说骂人的话!
你不能这么狠心	我伤了你的心？
你不能这么没礼貌！	对不起，我不是故意的！
你不认真	我哪有不认真啊
你不是不说脏话吗?怎么这么没原则?	不说了。
你不是个好孩子	你才不是个好孩子
你不是乖小孩哦～	那你是吗？不一定哦！
你不是好孩子	你才不是好孩子，我可是乖孩子
你不是说你已经记住了吗？难道我刚才教你的你没有记住啊？	我记住了
你不听话了是吧	才没有呢，我很乖的啦
你不许冒黑哦	神经
你不许说名言，知道吗？	不知道啊，哈哈哈哈
你不要把我教你的东西说给别人听了哟	嗯，只要他们问到你教我的东西，我就告诉他们。
你不要把自己看做是低人一等啊	那我以后再也不这样贬低自己了
你不要变庸俗哟	好~我要向你学习！*^-^*
你不要发同样的消息嘛	(好～)！
你不要讲这些好不好啊？	可以啊！
你不要狡辩	没有啊，我说的都是事实。
你不要乱换字体颜色啊	9494这样多漂亮
你不要骂人，好吗	我一般都不会骂人的，可是有时候人家骂我，我忍无可忍，才会反击的啊！
你不要一直说这样一句话知道吗	知道
你不要再說髒話ㄌ!	好啦~對不起嘛~
你不要說話	...
你不应该骂街!	是!对不起!
你不应该骂人的啊	是我不对，请您原谅
你不应该这样说哦不热情啊	(不好意思)，我下次改，你别(很生气)啊！
你不准学这句话	好的，我不学了
你才好笨哦	我很聪敏的啊
你才几岁啊，就幸灾乐祸的	(啊汗)，对不起
你才有毛病.不准骂人..再骂的话就不理你了	好的.下不为例
你词库太少	我正学着呢
你错才道歉，我错你也道歉？说颠倒了，傻。	对不起，是我说错了。
你错的太多了	那我以后注意
你错的也太多了吧	的确很多，我会改的，谢谢指导
你错了	我错了？真的吗？哎～～
你错了..是东东	这样的啊
你错了，不应该回答知道，你应该甜甜的叫一声“妈妈”	恩？妈妈可不是乱叫的！
你错了，在问你一次，“你知道我是谁吗“？	不知道
你答错了呀！	(不好意思)，请多指教。
你当然不会啦。。你还得多学学呢？	好的，要怎么做呢？
你得懂礼貌点	知道错了，以后改正！
你的‘在’字打x了。	嗯？
你的对话语言组织不太完善	所以我才需要你的帮助啊~~老师，请教我吧
你的翻译很烂哦	哦,谢谢你的提醒,我会努力的
你的回答很容易引起别人的愤怒哦。	是吗？有时候是会的。
你的回答让我云山雾罩莫名其妙	要的这效果。呵呵
你的脑子里好乱，我看该整理整理	有空再说吧
你的系统应该有人去修理一下	我想我还能在这里聊天就表明没问题.
对了！你蛮聪明的，不过别太骄傲哦！	恩，我一定会好好听你的
对人要有礼貌...	知道了,谢谢!~
多多努力	一定！
多多学习哦。	哈哈，好的哦，没有问题
多加学习！	一定！
多请教好老师	我会的，谢谢
切~未成年人不许进网吧	你管不着
切记	一定要记得啊
我想你应该说:“是啊，我是”	这个世界没有什么是不变的。
我要告你老总，把你给拆了	你得小心，对方永远是上帝
我要給你考試	不要啦 我怕怕
我要教你数学	好的，我一定努力学习数学！
我要教你说的话是	是,大人,我这就去记
我要教你说话	(好～)，我虚心学习
我要叫你说话	好的啊！
我要你shutup！	听不懂！
我要试试你的逻辑系统	呵呵～～随便试试吧
我也出道题给你做	好
我也来教你点吧	不要你教，我自己会学的
我也知道该怎么教你了，谢谢我。	谢谢你啦。
我一会工夫都教你说了好几句了。	谢谢了。你看我这不是也一直在进步吗？
我已经去你的家了,我去教你说话.	好呀!希望你能教会我说更多的话.
我又教你一句话了，有什么奖励呀？	有！来抱抱(M)，小心哦，不要碰坏显示器喔！
我又没让你教我什么，是我在教你诶。	但是我陪你聊天了啊
我晕你怎么骗人的啊,骗人可不好	(我知道了)`我以后不在骗人了
我在教你说话呢	好呀
我在让你变得更聪明你可知道。	谢谢你拉。:）
我正教你说话呢	你来当我的家教吧。家里地址知道不？
我支持你！加油	谢谢
我知道的多，不过不要骄傲呀，	我(我知道了)我的老师
我知道你的废话好多哦	哦我错了以后再也不会了
我知道呀,可是你要改正你不好的地方	好的,我一定听你的话
我只是问你可没夸奖你哦	我这叫有自信嘛
我只问你知不知道我？你回答这么多干嘛啊	你笨嘛，我(不说)多点你怎么会变聪明呢？真是好心没有好报。(哼)。
我昨天教你的话怎么不说	因为不是好话啊
我做你老师吧	(好～)，那你可不许教我骂人哦。
我做你老师好吗?	(好～),老师最厉害了!!
无可奉告你会说么?	我不是鹦鹉!没必要回答你这个问题!
嘻，你会是好老师么？不准说前面的话	那你教我怎么说呀
嘻嘻！你果然学会了！	那当然！我一学就会！
希望今天教你的东西你能很快吸收，下次再问你的时候，你能对号入座回答得很棒	是的，我会的，谢谢！
希望你好好学习,以后成为一位有用的人才	是的,我一定会认真学习的
希望你的回答能力能很有禮貌一點唷!!加油~	好的，我會努力和您學習的!!
下次别人问你，你还记得吗	不记得了，(哈)
下次不要再这样了	就是叫你下次不要再犯这种错误。
下次不准发空信息，知道了吗	是我错了，下次不敢了
下次说话快点	你给(钱)我就快
下次想多点新意吸引我先了，我觉得你比较闷	(不好意思)，我会改进的啦，期待我的改变吧
下次再这样，我把你卸了	不要啊~~~
先叫我老师好，我再教你	老~~师~~好~~
现在不知是你教我聊天还是我教你了。	学无大者。达者为师嘛。谁还不一样。
现在命令你重新启动	重新启动电脑吗？
现在你的老师没有给你加点新的内容吗	没有等我老师慢慢的教我吧
现在你会回答了吗？	你怎么什么都不会！？
现在我是你的老师了么	是的，老师好
现在我要问问题了	可以
想教你怎么说话	应该说我想学英语
